id	choice	purpose	npersons	age	employ_status	mainearn	arrival_time	gender	rail_ivtt	rail_cost	rail_transfers	rail_acc_time	rail_egr_time	rail_acc_mode	rail_egr_mode	seat_status	car_ivtt	car_cost	car_walk_time	car_parking_fee
1	0	0	3	0	0	0	0	1	2	40	0	0.333	0.167	0	0	0	1	5	0.167	0
2	0	0	5	0	1	0	0	1	1.633	35	0	0.133	0.25	0	0	0	1.5	9	0.017	1
3	0	0	2	0	0	0	0	0	1.5	24	0	0.5	0.017	1	1	0	1.633	11.5	0.333	0
4	0	0	3	1	1	1	0	0	1	7.8	1	0.5	0.25	0	1	0	1.5	8.333	0.5	1
5	0	0	3	0	0	0	0	1	1.667	28	1	0.2	0.167	1	0	0	1.25	5	0.017	1
7	0	0	5	1	1	1	0	0	2	40	0	0.5	0.167	0	1	0	2.5	3.2	0.05	0
8	0	1	2	0	0	0	1	1	1.083	45	0	0.25	0.75	0	0	1	1.417	13	0.067	1
12	0	0	3	1	1	0	0	1	2	30	2	0.083	0.25	1	0	0	2	10	0.333	0
13	0	0	2	0	1	0	0	0	2	40	1	0.167	0.083	1	1	0	1.5	17	0.083	0
14	0	0	1	0	0	1	0	0	1.75	25	2	0.25	0.417	1	0	0	1.167	34	0.017	1
15	0	0	4	0	0	1	0	0	1.417	35	0	0.333	0.25	0	0	0	1.417	9.75	0	1
17	0	0	2	0	1	0	1	0	1.5	25	1	0.333	0.25	0	0	0	1.417	5	0.1	0
18	0	0	2	1	1	0	0	1	2	40	1	0.417	0.25	0	1	0	1.5	20	0.25	0
19	0	0	2	0	1	0	0	0	1.25	30	0	0.25	0.25	0	0	0	1.25	8	0.167	1
20	0	1	1	0	0	1	1	0	1.333	28	0	0.333	0.333	0	0	0	1.5	30	0.017	1
21	0	0	4	1	1	1	0	0	1.5	28	1	0.5	0.5	0	0	0	1.75	5.5	0.017	1
24	0	0	2	0	1	0	0	0	1.5	40	0	0.167	0.333	0	0	0	1.333	20	0.017	1
25	0	0	1	0	0	1	1	0	2	35	1	0.083	0.167	0	1	0	1.5	35	0.033	1
26	0	0	4	1	1	1	0	0	1.25	35	1	0.333	0.5	0	0	0	2.5	3.75	0.083	1
29	0	0	4	0	1	0	1	0	2	35	2	0.167	0.167	0	1	0	2	2.5	0.167	1
30	0	0	4	1	0	1	0	0	1.5	35	1	0.5	0.5	0	0	0	1.5	12.5	0.017	1
33	0	0	2	1	0	1	1	1	1.5	37.5	0	0.5	0.333	0	0	0	1.5	7.5	0.05	1
34	0	0	2	0	1	0	0	1	1.5	38	0	0.25	0.25	0	1	0	1.75	15	0.25	0
35	0	0	4	1	0	1	0	0	2	40	1	0.333	0.25	0	0	0	1.25	7.5	0.017	1
36	0	0	2	0	0	1	0	0	1.5	75	1	0.5	0.75	0	0	0	2.5	12.5	0.083	0
37	0	0	2	0	1	1	1	1	3	52	2	0.167	0.167	0	0	0	1.25	11	0.083	1
38	0	0	2	0	0	0	1	1	1.5	36	1	0.167	0.417	0	1	0	1.25	25	0.167	1
41	0	0	2	1	0	1	0	0	2	40	1	0.333	0.167	0	0	0	1.25	49.995	0.017	1
42	0	0	4	1	0	1	0	0	1.25	34	0	0.25	0.417	0	0	0	1.25	11.25	0.017	0
44	0	0	1	0	1	0	1	1	2	50	2	0.333	0.5	0	0	0	2	36	0.017	1
45	0	0	3	0	1	0	0	0	1.75	30	0	0.083	0	1	1	0	1.5	11.333	0	0
46	0	0	4	0	0	1	0	0	1.5	33	1	0.25	0.333	0	0	0	1	3.125	0.083	1
47	0	0	3	0	0	0	0	1	1.167	32	1	0.25	0.083	0	1	0	1.167	5	0.083	0
48	0	0	4	0	1	0	0	0	1.833	40	0	0.167	0.25	1	0	0	2	6.25	0.083	1
49	0	0	2	0	1	1	0	0	1.333	45	1	0.167	0.25	0	1	0	1.5	11	0.083	1
53	0	0	2	0	1	0	1	0	1.5	40	0	0.167	0.25	0	0	0	2	4.995	0.25	0
54	0	0	2	1	1	1	0	1	1.5	42.5	1	0.1	0.083	1	1	0	1.5	7.5	0.083	0
55	0	0	2	1	0	1	0	0	1.25	56	0	0.333	0.75	0	0	0	1.25	10	0.017	1
57	0	0	3	1	0	1	0	1	1.167	30	1	0.25	0.167	0	0	0	2	10	0.033	0
59	0	0	4	0	1	0	1	1	1.5	30	0	1	0.333	0	0	0	2	8.75	0.017	1
60	0	0	2	1	0	0	0	1	2	40	1	0.167	0.25	0	0	0	1.25	12.5	0.083	1
61	0	0	3	1	1	0	1	1	1.25	42.5	0	0.333	0.167	0	0	0	1.25	8.333	0.033	1
63	0	0	2	0	1	0	0	0	2	42	1	0.117	0.167	1	1	0	2	9	0.167	0
65	0	0	4	0	0	1	0	0	1.5	33	0	0.333	0.083	0	0	0	1.75	0.25	0.017	1
68	0	0	4	1	0	1	1	0	1.5	35	1	0.167	0.25	1	1	0	1.917	2.5	0.167	0
69	0	0	4	0	1	0	0	1	2	29	1	0.5	0.333	0	0	0	1.75	5	0.167	0
72	0	0	1	1	0	1	0	0	1.25	30	0	0.25	0.25	0	0	0	1.25	40	0.083	0
73	0	0	2	0	0	1	0	0	1.5	40	0	1	0.25	0	0	0	1.5	13	0.033	1
74	0	0	3	0	0	0	0	1	2	37.5	1	0.083	0.333	0	0	0	1.417	12.333	0.017	0
75	0	1	2	0	0	1	0	0	2	40	2	0.167	0.167	0	0	0	2.5	19.5	0.017	1
80	0	0	1	1	1	1	0	1	2.5	40	1	0.5	0.5	0	0	0	2	15	0.083	1
81	0	0	5	0	0	1	1	1	0.817	12.5	0	0.117	0.167	0	0	0	1.167	7.2	0.083	0
82	0	0	2	0	0	0	0	0	1.25	30	1	0.333	0.25	1	0	0	1.333	13.75	0.017	1
83	0	0	1	1	1	0	0	1	1	20	0	0.083	0.25	1	0	0	1.5	30	0.033	1
90	0	0	2	1	0	1	0	0	1	35.2	0	0.167	0.083	0	0	0	1.5	8	0.017	1
92	0	0	2	0	0	0	0	0	1.5	50	0	0.333	0.333	0	0	0	2	15	0.017	1
96	0	0	4	1	1	1	0	0	1.5	40	1	0.167	0.333	1	0	0	1.25	8.75	0.167	1
97	0	0	2	0	1	1	0	1	1.5	30	1	0.417	0.333	1	1	0	1.333	7.5	0.033	0
